GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,HH_Public_Assistance,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
295101036001,"Block Group 1, Tract 103600, St. Louis City",521,209,64779.0,38,0.18181818181818182,15,0.07177033492822966,10,0.04784688995215311,147,67,80,0.2821497120921305,83,52,31,0.15930902111324377,0.44145873320537427,49,0.23444976076555024,4,0.019138755980861243,66,0.3157894736842105,50,0.19305019305019305,129,0.4980694980694981,267,82,0.30711610486891383,7,0.03349282296650718
295101036002,"Block Group 2, Tract 103600, St. Louis City",839,398,108846.0,17,0.04271356783919598,7,0.017587939698492462,7,0.017587939698492462,163,89,74,0.19427890345649582,162,102,60,0.19308700834326578,0.3873659117997616,78,0.19597989949748743,5,0.01256281407035176,38,0.09547738693467336,44,0.09954751131221719,300,0.6787330316742082,469,125,0.26652452025586354,47,0.11809045226130653
295101037001,"Block Group 1, Tract 103700, St. Louis City",903,400,86364.0,35,0.0875,30,0.075,0,0.0,232,65,167,0.25692137320044295,93,84,9,0.10299003322259136,0.3599114064230343,144,0.36,0,0.0,51,0.1275,22,0.052132701421800945,369,0.8744075829383886,558,84,0.15053763440860216,0,0.0
295101037002,"Block Group 2, Tract 103700, St. Louis City",1227,577,72684.0,47,0.08145580589254767,15,0.025996533795493933,29,0.05025996533795494,105,40,65,0.08557457212713937,209,98,111,0.17033414832925836,0.25590872045639773,58,0.10051993067590988,8,0.01386481802426343,158,0.2738301559792028,87,0.13102409638554216,402,0.6054216867469879,751,126,0.1677762982689747,32,0.05545927209705372
295101037003,"Block Group 3, Tract 103700, St. Louis City",414,190,75938.0,30,0.15789473684210525,0,0.0,0,0.0,85,64,21,0.20531400966183574,45,42,3,0.10869565217391304,0.3140096618357488,62,0.3263157894736842,7,0.03684210526315789,29,0.15263157894736842,14,0.06862745098039216,148,0.7254901960784313,246,15,0.06097560975609756,0,0.0
295101038001,"Block Group 1, Tract 103800, St. Louis City",649,284,77143.0,9,0.03169014084507042,21,0.07394366197183098,10,0.035211267605633804,161,104,57,0.24807395993836673,94,60,34,0.1448382126348228,0.3929121725731895,99,0.3485915492957746,0,0.0,89,0.31338028169014087,0,0.0,128,0.4507042253521127,326,101,0.3098159509202454,9,0.03169014084507042
295101038002,"Block Group 2, Tract 103800, St. Louis City",723,338,97368.0,25,0.07396449704142012,8,0.023668639053254437,0,0.0,142,66,76,0.19640387275242047,136,114,22,0.18810511756569848,0.38450899031811897,84,0.2485207100591716,10,0.029585798816568046,43,0.12721893491124261,0,0.0,139,0.41124260355029585,434,26,0.059907834101382486,8,0.023668639053254437
295101038003,"Block Group 3, Tract 103800, St. Louis City",908,486,55000.0,50,0.102880658436214,77,0.15843621399176955,13,0.026748971193415638,173,39,134,0.1905286343612335,331,273,58,0.3645374449339207,0.5550660792951542,118,0.24279835390946503,0,0.0,211,0.43415637860082307,10,0.020161290322580645,142,0.2862903225806452,330,24,0.07272727272727272,29,0.059670781893004114
295101038004,"Block Group 4, Tract 103800, St. Louis City",707,348,71477.0,50,0.14367816091954022,0,0.0,0,0.0,101,74,27,0.14285714285714285,85,85,0,0.12022630834512023,0.26308345120226306,50,0.14367816091954022,21,0.0603448275862069,51,0.14655172413793102,0,0.0,203,0.5833333333333334,381,57,0.14960629921259844,0,0.0
295101038005,"Block Group 5, Tract 103800, St. Louis City",782,472,52344.0,95,0.20127118644067796,45,0.09533898305084745,7,0.014830508474576272,91,43,48,0.11636828644501279,147,29,118,0.18797953964194372,0.30434782608695654,67,0.1419491525423729,0,0.0,77,0.163135593220339,0,0.0,205,0.4343220338983051,441,69,0.1564625850340136,70,0.1483050847457627
